model_type,runs,best_val_loss_mean,best_val_loss_std,final_val_loss_mean,final_val_loss_std,runtime_seconds_mean
cbow,3,3.6947621504465737,0.05491903052569111,3.6947621504465737,0.05491903052569111,0.03333333333333333
skipgram,3,3.5005575815836587,0.11633216546683743,3.5005575815836587,0.11633216546683743,0.056666666666666664
